Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;N-Z;ame_ME;ame_ME_unc;ame_BE/A;ame_BE/A_unc;ame_BDE;ame_BDE_unc;ame_AM;ame_AM_unc;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;ldm_BE;Z_distance;N_distance;rescaled_ame_BE;rescaled_N;rescaled_Z;rescaled_Surf;rescaled_Asym;rescaled_Coul;rescaled_Pair;rescaled_Z_parity;rescaled_N_parity;rescaled_Z_distance;rescaled_N_distance
0;1;311.628937;-303.557556;1;311.628937;;303.3527758;258.2161982;;1;8.07131806;0.00044;0.0;0.0;782.347;0.0004;1.0086649159;0.00047;0.0;;;-311.628937;1.0;1.0;0.0;1.0;1;-1;-25.025;2;1;0.0032475082620220122;0.005649717514124294;0.0;0.0;0.06521114622234991;0.0;1.0;1.0;0.0;0.09090909090909091;0.034482758620689655
1;0;311.628937;-304.339905;1;311.628937;304.98780839200003;;;300.21611808800003;-1;7.288971064;1.3e-05;0.0;0.0;0.0;0.0;1.007825031898;1.4e-05;0.0;;;-311.628937;1.0;1.0;0.0;1.0;-1;1;-25.025;1;2;0.0032475082620220122;0.0;0.00847457627118644;0.0;0.06521114622234991;0.0;1.0;0.0;1.0;0.045454545454545456;0.06896551724137931
1;1;1.92253888;11.5153322;2;3.84507776;-307.78385924;-307.78385924;-4.43108344;-2.796050848;0;13.135722895;1.5e-05;1.1122831000000002;0.0002;0.0;0.0;2.014101777844;1.5e-05;2.2245662000000004;2.2245662000000004;2.2245662000000004;-1.6205115599999995;1.5874010519681994;0.0;0.0;0.7071067811865476;-1;-1;3.6290798745879274;1;1;0.004309748684594415;0.005649717514124294;0.00847457627118644;0.013561233929037003;0.0;0.0;0.6889996401843708;0.0;0.0;0.045454545454545456;0.034482758620689655
1;2;5.24371147;7.70065498;3;15.73113441;11.88605665;-38.27306559;13.67248773;-295.89780259;1;14.9498109;8e-05;2.8272654000000004;0.0003;18.59202;6e-05;3.01604928132;8e-05;8.481796200000002;8.481796200000002;8.481796200000002;-7.249338209999998;2.080083823051904;0.3333333333333333;0.0;0.5773502691896257;-1;1;2.8684890621490204;1;0;0.007297604312056847;0.011299435028248588;0.00847457627118644;0.02493572209020908;0.021737048740783305;0.0;0.551221366986568;0.0;1.0;0.045454545454545456;0.0
1;3;3.92344832;15.8093748;4;15.69379328;-0.0373411299999997;5.14489625;10.023953422999998;11.84871552;2;24.621129;100.0;1.7204491;25.0;22196.2131;100.0;4.026431867;107.354;6.8817964;-0.8362449200000001;4.6572302;-8.811996879999999;2.5198420997897464;1.0;0.0;0.5;-1;-1;-4.741879379377334;1;1;0.006533597170499198;0.01694915254237288;0.00847457627118644;0.03508835093397719;0.06521114622234991;0.0;0.46908917680728296;0.0;0.0;0.045454545454545456;0.034482758620689655
1;4;2.6183362;26.4828644;5;13.091681;-2.60211228;8.59545335;0.4609488160000001;-2.63945341;3;32.892447;89.443;1.3363592000000002;17.8885;21661.2131;91.6515;5.035311492;96.02;6.681796;-21.6138664;-1.8000002000000004;-6.409884999999998;2.924017738212866;1.8;0.0;0.4472135954999579;-1;1;-14.843825629407682;1;2;0.00643809607486507;0.022598870056497175;0.00847457627118644;0.044419489110710544;0.11738006320022985;0.0;0.4130394298742808;0.0;1.0;0.045454545454545456;0.06896551724137931
1;5;2.13183403;34.8549232;6;12.791004179999998;-0.3006768200000014;7.620093819999998;-1.0610813470000018;-2.902789100000001;4;41.875725;254.127;0.9616395;42.3545;24283.6294;254.1268;6.044955437;272.816;5.769837;-20.5608255;-1.1119594000000006;-7.021167179999998;3.3019272488946263;2.6666666666666665;0.0;0.408248290463863;-1;-1;-26.04553983178775;1;3;0.006002631527427143;0.02824858757062147;0.00847457627118644;0.05314422540662156;0.17389638992626644;0.0;0.3716652255289438;0.0;0.0;0.045454545454545456;0.10344827586206896
1;6;1.85942137;42.7013588;7;13.01594959;0.2249454100000019;11.4151795348;-0.1450671700000008;-0.0757314099999995;5;49.135;1004.0;0.94;143.0;23062.0;1004.0;7.052749;1078.0;6.58;-20.3434868;-0.1017960000000002;-6.43594959;3.6593057100229713;3.571428571428572;0.0;0.3779644730092272;-1;1;-37.78055166941008;1;2;0.006389488024425311;0.03389830508474576;0.00847457627118644;0.061394964652527986;0.23289695079410688;0.0;0.3395092126204265;0.0;1.0;0.045454545454545456;0.06896551724137931
2;1;5.11084414;7.31690788;3;15.33253242;-38.08020638;11.48745466;-296.29640458;13.801074996;-1;14.93121888;6e-05;2.57268044;0.00015;-13736.0;2000.0;3.01602932197;6e-05;7.71804132;5.49347512;1.9482043200000008;-7.614491099999999;2.080083823051904;0.3333333333333333;1.3867225487012695;0.5773502691896257;1;-1;1.9019434457042357;0;1;0.006932907902270104;0.005649717514124294;0.01694915254237288;0.02493572209020908;0.021737048740783305;0.0006671306826325396;0.551221366986568;1.0;0.0;0.0;0.034482758620689655
2;2;6.54712152;4.53233337;4;26.18848608;10.85595366;10.45735167;-27.81571392;-27.22425272;0;2.42491587;0.00015;7.0739156;0.0002;-22898.274;212.132;4.00260325413;0.00016;28.2956624;35.0966624;21.7156624;2.1071763200000007;2.5198420997897464;0.0;1.2599210498948732;0.5;1;1;17.66495564884594;0;0;0.016758815043875504;0.011299435028248588;0.01694915254237288;0.03508835093397719;0.0;0.0006061284507608752;0.46908917680728296;1.0;1.0;0.0;0.0
2;3;5.30607891;12.2618046;5;26.53039455;0.3419084699999999;10.83660127;15.98149752;11.19786213;1;11.231234;20.0;5.5121325;4.0;-447.6529;53.8516;5.012057224;21.47;27.5606625;22.9456213;19.84262118;1.030267949999999;2.924017738212866;0.2;1.1696070952851465;0.4472135954999579;1;-1;21.59695822517857;0;1;0.016407849267102183;0.01694915254237288;0.01694915254237288;0.044419489110710544;0.013042229244469983;0.0005626798097573383;0.4130394298742808;1.0;0.0;0.0;0.034482758620689655
2;4;4.92667341;17.3035374;6;29.560040460000003;3.029645910000003;16.468359460000002;25.06381281;3.3715543800000027;2;17.592095;0.053;4.878519900000001;0.0089;3505.2147;0.0532;6.018885889;0.057;29.271119400000003;29.181119400000004;0.975457000000002;-0.2889210599999998;3.3019272488946263;0.6666666666666666;1.100642416298209;0.408248290463863;1;1;19.7573124040524;0;2;0.017224600173525145;0.022598870056497175;0.01694915254237288;0.05314422540662156;0.04347409748156661;0.0005295019737055782;0.3716652255289438;1.0;1.0;0.0;0.06896551724137931
2;5;3.9691329;27.1510296;7;27.7839303;-1.7761101600000018;14.992926120000003;22.61301994;1.253535750000001;3;26.073128;7.559;4.1230578;1.0799;11166.0229;7.5595;7.027990652;8.115;28.8614046;31.6634046;1.3007420999999997;1.0774742999999989;3.6593057100229713;1.2857142857142858;1.0455159171494206;0.3779644730092272;1;-1;14.713580879193923;0;3;0.017028959503318897;0.02824858757062147;0.01694915254237288;0.061394964652527986;0.08384290228587847;0.0005029814710695489;0.3395092126204265;1.0;0.0;0.0;0.10344827586206896
